,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_New
2267,FDV60,20.2,Regular,0.11754371300000001,197.31099999999998,OUT049,1999,Medium,Tier 1,Supermarket Type1,3338.987,non
2268,FDE32,20.7,Low Fat,0.048718334,38.7506,OUT013,1987,High,Tier 3,Supermarket Type1,227.7036,perishable
2269,NCI30,20.25,Non-Edible,0.059175599999999995,245.046,OUT018,2009,Medium,Tier 3,Supermarket Type2,4680.5740000000005,Others
2270,FDS37,7.655,Low Fat,0.031918284,117.7492,OUT013,1987,High,Tier 3,Supermarket Type1,695.0952,non
2271,FDC57,13.224769381746881,Regular,0.09558797599999999,193.982,OUT019,1985,Small,Tier 1,Grocery Store,579.246,perishable
2272,DRC01,5.92,Regular,0.019308607,49.0692,OUT017,2007,Medium,Tier 2,Supermarket Type1,1478.076,non
2273,DRD27,18.75,Low Fat,0.023974769,99.0042,OUT017,2007,Medium,Tier 2,Supermarket Type1,694.4294,perishable
2274,FDI12,9.395,Regular,0.100602552,88.3856,OUT045,2002,Medium,Tier 2,Supermarket Type1,703.0848,non
2275,FDQ33,13.35,Low Fat,0.091189915,149.3708,OUT035,2004,Small,Tier 2,Supermarket Type1,4514.124,non
2276,FDQ27,12.81734421364986,Regular,0.077480627,101.399,OUT019,1985,Small,Tier 1,Grocery Store,206.398,perishable
2277,NCB07,19.2,Non-Edible,0.12973174699999998,196.21099999999998,OUT010,1998,Medium,Tier 3,Grocery Store,589.2330000000001,Others
2278,FDC08,19.0,Regular,0.103363904,226.172,OUT013,1987,High,Tier 3,Supermarket Type1,3169.208,perishable
2279,FDD20,14.15,Low Fat,0.020714523000000002,124.2046,OUT046,1997,Small,Tier 1,Supermarket Type1,2490.092,perishable
2280,FDS24,20.85,Regular,0.062212712999999996,88.1514,OUT035,2004,Small,Tier 2,Supermarket Type1,1151.1682,non
2281,FDH34,8.63,Low Fat,0.031271134,186.0582,OUT017,2007,Medium,Tier 2,Supermarket Type1,3900.9222,non
2282,NCX30,16.7,Non-Edible,0.026729067999999998,248.4776,OUT018,2009,Medium,Tier 3,Supermarket Type2,6439.6176,Others
2283,FDM01,7.895,Regular,0.094567181,104.5332,OUT046,1997,Small,Tier 1,Supermarket Type1,1845.5976,perishable
2284,FDB20,7.72,Low Fat,0.05193741,77.9986,OUT013,1987,High,Tier 3,Supermarket Type1,934.7832,perishable
2285,NCK29,5.615,Non-Edible,0.12648042199999998,121.573,OUT017,2007,Medium,Tier 2,Supermarket Type1,3202.498,Others
2286,FDS11,7.05,Regular,0.055644887000000004,224.9088,OUT049,1999,Medium,Tier 1,Supermarket Type1,2684.5056,perishable
2287,NCV41,14.35,Non-Edible,0.028519419,109.2228,OUT010,1998,Medium,Tier 3,Grocery Store,221.0456,Others
2288,DRL60,8.52,Low Fat,0.027101431000000002,151.7682,OUT049,1999,Medium,Tier 1,Supermarket Type1,2439.4912,non
2289,FDV10,7.645,Regular,0.067083367,44.0112,OUT017,2007,Medium,Tier 2,Supermarket Type1,596.5568,non
2290,FDV09,12.1,Low Fat,0.020652362,149.5734,OUT018,2009,Medium,Tier 3,Supermarket Type2,2227.101,non
2291,FDQ39,14.8,Low Fat,0.081042136,192.4846,OUT046,1997,Small,Tier 1,Supermarket Type1,5159.2842,perishable
2292,DRE49,20.75,Low Fat,0.021336565,153.6024,OUT018,2009,Medium,Tier 3,Supermarket Type2,1366.2216,non
2293,FDR45,10.8,Low Fat,0.029001987000000003,238.6222,OUT045,2002,Medium,Tier 2,Supermarket Type1,8604.7992,non
2294,DRJ23,18.35,Low Fat,0.069745165,190.2872,OUT010,1998,Medium,Tier 3,Grocery Store,378.1744,non
2295,FDQ26,13.5,Regular,0.06814888599999999,58.6562,OUT018,2009,Medium,Tier 3,Supermarket Type2,711.0744,perishable
2296,NCA06,20.5,Non-Edible,0.144094079,34.819,OUT017,2007,Medium,Tier 2,Supermarket Type1,1061.951,Others
2297,FDT24,12.35,Regular,0.186616421,78.6328,OUT018,2009,Medium,Tier 3,Supermarket Type2,1004.0264,non
2298,DRG27,8.895,Low Fat,0.105323859,39.1138,OUT045,2002,Medium,Tier 2,Supermarket Type1,609.207,perishable
2299,FDR02,16.7,Low Fat,0.022110425,110.8886,OUT045,2002,Medium,Tier 2,Supermarket Type1,3558.0352,perishable
2300,DRG37,16.2,Low Fat,0.019374768,155.8972,OUT035,2004,Small,Tier 2,Supermarket Type1,2025.3636,non
2301,FDJ07,7.26,Low Fat,0.014482278000000001,118.115,OUT018,2009,Medium,Tier 3,Supermarket Type2,1864.24,perishable
2302,FDP32,6.65,Low Fat,0.08780578800000001,126.7678,OUT049,1999,Medium,Tier 1,Supermarket Type1,1907.517,perishable
2303,FDV59,13.35,Low Fat,0.048027043,218.9166,OUT046,1997,Small,Tier 1,Supermarket Type1,5660.6316,perishable
2304,FDP60,17.35,Low Fat,0.055908268,99.8016,OUT035,2004,Small,Tier 2,Supermarket Type1,607.2096,non
2305,FDE32,13.224769381746881,Low Fat,0.048522793,39.6506,OUT027,1985,Medium,Tier 3,Supermarket Type3,1024.6662,perishable
2306,FDK26,5.46,Regular,0.032359413,187.424,OUT017,2007,Medium,Tier 2,Supermarket Type1,3169.208,non
2307,FDW28,18.25,Low Fat,0.088807455,197.3452,OUT035,2004,Small,Tier 2,Supermarket Type1,2740.4328,non
2308,FDP56,8.185,Low Fat,0.046556408,47.7692,OUT049,1999,Medium,Tier 1,Supermarket Type1,640.4996,perishable
2309,FDT25,7.5,Low Fat,0.050750977,122.2072,OUT046,1997,Small,Tier 1,Supermarket Type1,1960.1152,non
2310,FDQ12,12.65,Low Fat,0.035404052000000005,230.601,OUT035,2004,Small,Tier 2,Supermarket Type1,2067.3089999999997,non
2311,FDR60,14.3,Low Fat,0.13039045800000001,77.2328,OUT035,2004,Small,Tier 2,Supermarket Type1,231.6984,non
2312,FDZ10,17.85,Low Fat,0.074422769,128.002,OUT010,1998,Medium,Tier 3,Grocery Store,253.00400000000002,non
2313,FDM13,6.425,Low Fat,0.10574254400000001,130.5626,OUT010,1998,Medium,Tier 3,Grocery Store,131.1626,perishable
2314,FDF26,6.825,Regular,0.046729335999999996,153.4998,OUT045,2002,Medium,Tier 2,Supermarket Type1,2153.1972,non
2315,FDN02,12.305705009276451,Low Fat,0.07347023400000001,205.3638,OUT027,1985,Medium,Tier 3,Supermarket Type3,5383.6588,non
2316,NCI30,20.25,Non-Edible,0.058886477,245.546,OUT013,1987,High,Tier 3,Supermarket Type1,1724.422,Others
2317,NCJ31,19.2,Non-Edible,0.18293775,243.0196,OUT049,1999,Medium,Tier 1,Supermarket Type1,3615.2940000000003,Others
2318,NCQ54,17.7,Non-Edible,0.020993364,166.8474,OUT010,1998,Medium,Tier 3,Grocery Store,168.4474,Others
2319,FDB02,9.695,Regular,0.029223423999999998,175.437,OUT045,2002,Medium,Tier 2,Supermarket Type1,2999.429,non
2320,FDC02,12.305705009276451,Low Fat,0.068489201,259.3278,OUT027,1985,Medium,Tier 3,Supermarket Type3,4165.2448,non
2321,FDA11,7.75,Low Fat,0.043326511,95.6436,OUT045,2002,Medium,Tier 2,Supermarket Type1,1134.5232,non
2322,DRI23,11.400327868852452,Low Fat,0.136532569,159.6578,OUT027,1985,Medium,Tier 3,Supermarket Type3,2888.2404,non
2323,FDE04,19.75,Regular,0.018051091000000002,179.86599999999999,OUT049,1999,Medium,Tier 1,Supermarket Type1,2696.49,non
2324,FDW38,5.325,Regular,0.23212188,55.5298,OUT010,1998,Medium,Tier 3,Grocery Store,53.9298,perishable
2325,FDG46,12.987879554655919,Regular,0.057620562,115.4518,OUT019,1985,Small,Tier 1,Grocery Store,113.8518,non
2326,NCJ05,13.142313953488392,Non-Edible,0.045865089000000005,152.3682,OUT027,1985,Medium,Tier 3,Supermarket Type3,2287.0229999999997,Others
2327,FDU01,12.305705009276451,Regular,0.021002171,185.1924,OUT019,1985,Small,Tier 1,Grocery Store,555.2772,non
2328,FDY11,6.71,Regular,0.029727657,66.6142,OUT017,2007,Medium,Tier 2,Supermarket Type1,1120.5414,non
2329,FDX60,14.35,Low Fat,0.080527065,79.296,OUT013,1987,High,Tier 3,Supermarket Type1,719.064,non
2330,NCN29,15.2,Non-Edible,0.046559447999999996,47.8034,OUT049,1999,Medium,Tier 1,Supermarket Type1,437.4306,Others
2331,FDT07,5.82,Regular,0.05877842900000001,256.633,OUT049,1999,Medium,Tier 1,Supermarket Type1,2050.6639999999998,perishable
2332,FDI21,5.59,Regular,0.056833394,61.9168,OUT018,2009,Medium,Tier 3,Supermarket Type2,1214.4192,non
2333,FDI41,18.5,Regular,0.06225692099999999,148.0418,OUT046,1997,Small,Tier 1,Supermarket Type1,2059.9852,non
2334,FDE10,12.987879554655919,Regular,0.08951254199999999,133.1626,OUT027,1985,Medium,Tier 3,Supermarket Type3,3672.5528,non
2335,FDQ28,14.0,Regular,0.060427062000000004,153.5656,OUT046,1997,Small,Tier 1,Supermarket Type1,3089.312,non
2336,FDY32,7.605,Low Fat,0.216323008,165.021,OUT010,1998,Medium,Tier 3,Grocery Store,815.605,perishable
2337,NCK05,13.142313953488392,Non-Edible,0.135612397,61.1536,OUT019,1985,Small,Tier 1,Grocery Store,61.2536,Others
2338,FDH12,9.6,Low Fat,0.08512595099999999,107.12799999999999,OUT045,2002,Medium,Tier 2,Supermarket Type1,1278.336,non
2339,FDJ27,17.7,Regular,0.12256541300000001,103.8674,OUT017,2007,Medium,Tier 2,Supermarket Type1,1528.011,perishable
2340,DRL35,15.7,Low Fat,0.064325351,43.376999999999995,OUT010,1998,Medium,Tier 3,Grocery Store,129.83100000000002,non
2341,NCY29,13.65,Non-Edible,0.077670981,55.093,OUT017,2007,Medium,Tier 2,Supermarket Type1,1301.639,Others
2342,FDC21,14.6,Regular,0.043201813,110.1254,OUT017,2007,Medium,Tier 2,Supermarket Type1,1844.9318,perishable
2343,FDM33,15.6,Low Fat,0.088215871,220.1798,OUT017,2007,Medium,Tier 2,Supermarket Type1,5068.7354,non
2344,DRJ39,20.25,Low Fat,0.036295834,217.5482,OUT013,1987,High,Tier 3,Supermarket Type1,1095.241,perishable
2345,FDB22,8.02,Low Fat,0.18652881899999998,151.9998,OUT010,1998,Medium,Tier 3,Grocery Store,307.5996,non
2346,FDC32,18.35,Low Fat,0.099026525,93.8462,OUT013,1987,High,Tier 3,Supermarket Type1,1295.6468,perishable
2347,FDD02,16.6,Low Fat,0.053433574500000004,118.8124,OUT046,1997,Small,Tier 1,Supermarket Type1,2607.2728,non
2348,FDL28,10.0,Regular,0.063162608,228.6668,OUT035,2004,Small,Tier 2,Supermarket Type1,3455.502,non
2349,FDL39,16.1,Regular,0.063429818,179.4318,OUT049,1999,Medium,Tier 1,Supermarket Type1,2345.6134,perishable
2350,FDV37,13.0,Regular,0.139785104,196.2426,OUT010,1998,Medium,Tier 3,Grocery Store,197.7426,non
2351,FDA28,16.1,Regular,0.04807227,126.5362,OUT017,2007,Medium,Tier 2,Supermarket Type1,1761.7068,non
2352,FDL04,19.0,Low Fat,0.11209743300000001,105.5622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1905.5196,non
2353,FDR10,17.6,Low Fat,0.010037996,163.5552,OUT035,2004,Small,Tier 2,Supermarket Type1,3086.6488,non
2354,FDA39,6.32,Low Fat,0.012789884,39.1822,OUT017,2007,Medium,Tier 2,Supermarket Type1,1060.6194,perishable
2355,FDR15,9.3,Regular,0.033431669,153.1314,OUT035,2004,Small,Tier 2,Supermarket Type1,4653.942,perishable
2356,FDQ40,11.1,Regular,0.03623131,175.0712,OUT017,2007,Medium,Tier 2,Supermarket Type1,3339.6528,non
2357,DRG23,11.400327868852452,Low Fat,0.086360962,151.2682,OUT027,1985,Medium,Tier 3,Supermarket Type3,2439.4912,non
2358,FDU36,6.15,Low Fat,0.046232445,99.4384,OUT013,1987,High,Tier 3,Supermarket Type1,1379.5376,non
2359,FDF47,20.85,Low Fat,0.097618234,223.9746,OUT046,1997,Small,Tier 1,Supermarket Type1,897.4984,perishable
2360,FDH14,17.1,Regular,0.046808552999999996,141.4838,OUT046,1997,Small,Tier 1,Supermarket Type1,1404.838,non
2361,FDO45,13.15,Regular,0.03810738,86.3856,OUT018,2009,Medium,Tier 3,Supermarket Type2,615.1992,non
2362,FDK60,16.5,Regular,0.093846532,95.7068,OUT035,2004,Small,Tier 2,Supermarket Type1,1069.2748,non
2363,FDS43,11.65,Low Fat,0.040744057,185.924,OUT017,2007,Medium,Tier 2,Supermarket Type1,4101.3279999999995,perishable
2364,FDN44,13.15,Low Fat,0.022831052,160.292,OUT049,1999,Medium,Tier 1,Supermarket Type1,4793.76,perishable
2365,FDS34,19.35,Regular,0.07687841599999999,113.9518,OUT049,1999,Medium,Tier 1,Supermarket Type1,1138.518,non
2366,FDU20,19.35,Regular,0.021501067000000002,122.2098,OUT045,2002,Medium,Tier 2,Supermarket Type1,2771.7254,perishable
2367,FDP44,16.5,Regular,0.07964724,101.4332,OUT013,1987,High,Tier 3,Supermarket Type1,1948.1308,perishable
2368,FDC02,21.35,Low Fat,0.068809463,258.5278,OUT035,2004,Small,Tier 2,Supermarket Type1,5206.556,non
2369,FDT56,16.0,Regular,0.115570552,57.5246,OUT035,2004,Small,Tier 2,Supermarket Type1,173.7738,perishable
2370,NCA06,20.5,Non-Edible,0.14316437099999998,34.919000000000004,OUT013,1987,High,Tier 3,Supermarket Type1,73.238,Others
2371,FDE04,19.75,Regular,0.018008071,180.46599999999998,OUT013,1987,High,Tier 3,Supermarket Type1,3415.554,non
2372,NCX06,17.6,Non-Edible,0.015775777,179.1976,OUT017,2007,Medium,Tier 2,Supermarket Type1,3803.0496,Others
2373,FDX49,4.615,Regular,0.102407778,234.33,OUT017,2007,Medium,Tier 2,Supermarket Type1,3961.51,non
2374,DRM59,5.88,Low Fat,0.0036067259999999998,154.1998,OUT018,2009,Medium,Tier 3,Supermarket Type2,1384.1982,non
2375,FDJ34,11.8,Regular,0.093801337,126.0704,OUT049,1999,Medium,Tier 1,Supermarket Type1,1251.704,non
2376,FDP60,17.35,Low Fat,0.062343432000000004,101.9016,OUT013,1987,High,Tier 3,Supermarket Type1,1821.6288,non
2377,FDI07,12.35,Regular,0.033760862,196.9426,OUT046,1997,Small,Tier 1,Supermarket Type1,5141.3076,perishable
2378,FDV07,13.224769381746881,Low Fat,0.031131455,111.0228,OUT027,1985,Medium,Tier 3,Supermarket Type3,3205.1612,perishable
2379,FDH41,9.0,Low Fat,0.082177842,214.1534,OUT045,2002,Medium,Tier 2,Supermarket Type1,1720.4272,non
2380,NCB31,6.235,Non-Edible,0.118858866,263.291,OUT049,1999,Medium,Tier 1,Supermarket Type1,3418.883,Others
2381,FDW34,9.6,Low Fat,0.057583738,244.817,OUT035,2004,Small,Tier 2,Supermarket Type1,4374.306,non
2382,FDX45,16.75,Low Fat,0.105448901,156.16299999999998,OUT017,2007,Medium,Tier 2,Supermarket Type1,782.315,non
2383,FDH14,17.1,Regular,0.046881328,141.3838,OUT049,1999,Medium,Tier 1,Supermarket Type1,1685.8056,non
2384,FDF26,6.825,Regular,0.078057026,154.5998,OUT010,1998,Medium,Tier 3,Grocery Store,153.7998,non
2385,FDU24,6.78,Regular,0.140955857,92.212,OUT017,2007,Medium,Tier 2,Supermarket Type1,4101.3279999999995,non
2386,FDX11,16.0,Regular,0.107186944,181.9634,OUT018,2009,Medium,Tier 3,Supermarket Type2,3453.5046,non
2387,FDF35,15.0,Low Fat,0.15396020900000001,105.9938,OUT035,2004,Small,Tier 2,Supermarket Type1,1179.1318,perishable
2388,NCC43,7.39,Non-Edible,0.093160853,251.3066,OUT018,2009,Medium,Tier 3,Supermarket Type2,1004.0264,Others
2389,FDG29,17.6,Low Fat,0.05629192,42.5454,OUT046,1997,Small,Tier 1,Supermarket Type1,419.454,non
2390,FDS44,12.65,Regular,0.15604396,239.6538,OUT046,1997,Small,Tier 1,Supermarket Type1,3845.6608,perishable
2391,FDZ10,17.85,Low Fat,0.044463490999999994,127.102,OUT046,1997,Small,Tier 1,Supermarket Type1,2024.0320000000002,non
2392,FDC52,11.15,Regular,0.00827301,150.4708,OUT013,1987,High,Tier 3,Supermarket Type1,1956.1204,perishable
2393,DRL35,15.7,Low Fat,0.030697825,42.876999999999995,OUT035,2004,Small,Tier 2,Supermarket Type1,1168.479,non
2394,NCP55,14.65,Non-Edible,0.048677482,56.4614,OUT010,1998,Medium,Tier 3,Grocery Store,55.2614,Others
2395,FDV38,13.42606890459367,Low Fat,0.101281,55.0956,OUT027,1985,Medium,Tier 3,Supermarket Type3,2020.0372,perishable
2396,FDL44,18.25,Low Fat,0.012300013,160.4894,OUT045,2002,Medium,Tier 2,Supermarket Type1,3073.9986,perishable
2397,FDZ47,20.7,Regular,0.062343432000000004,98.7042,OUT017,2007,Medium,Tier 2,Supermarket Type1,1884.8798,non
2398,FDT45,15.85,Low Fat,0.057313443,53.3956,OUT046,1997,Small,Tier 1,Supermarket Type1,1364.89,non
2399,FDN23,6.575,Regular,0.075625152,145.7444,OUT049,1999,Medium,Tier 1,Supermarket Type1,3193.1768,perishable
2400,NCP43,17.75,Non-Edible,0.030568919,177.86599999999999,OUT045,2002,Medium,Tier 2,Supermarket Type1,2336.958,Others
2401,DRJ24,11.847459893048129,Low Fat,0.19842484100000002,185.2924,OUT019,1985,Small,Tier 1,Grocery Store,370.1848,non
2402,FDA02,13.42606890459367,Regular,0.029578726,143.5786,OUT027,1985,Medium,Tier 3,Supermarket Type3,3756.4436,perishable
2403,FDH33,12.987879554655919,Low Fat,0.213125482,44.9428,OUT019,1985,Small,Tier 1,Grocery Store,175.7712,non
2404,FDF56,16.7,Regular,0.120137953,181.2976,OUT017,2007,Medium,Tier 2,Supermarket Type1,3078.6592,perishable
2405,NCN26,10.85,Non-Edible,0.028679893999999997,115.1808,OUT046,1997,Small,Tier 1,Supermarket Type1,2109.2544,Others
2406,FDD22,10.0,Low Fat,0.09980462300000001,113.7544,OUT049,1999,Medium,Tier 1,Supermarket Type1,3243.7776,non
2407,FDU15,13.65,Regular,0.044526443,37.9532,OUT010,1998,Medium,Tier 3,Grocery Store,71.9064,perishable
2408,FDB41,19.0,Regular,0.162882227,46.8718,OUT010,1998,Medium,Tier 3,Grocery Store,189.0872,non
2409,FDZ35,9.6,Regular,0.022404492999999998,102.499,OUT017,2007,Medium,Tier 2,Supermarket Type1,2579.975,perishable
2410,FDT60,12.0,Low Fat,0.075975642,124.1388,OUT017,2007,Medium,Tier 2,Supermarket Type1,1486.0656,non
2411,FDE51,5.925,Regular,0.09644909,43.8086,OUT035,2004,Small,Tier 2,Supermarket Type1,312.2602,perishable
2412,NCQ06,13.0,Non-Edible,0.041816615,254.5014,OUT035,2004,Small,Tier 2,Supermarket Type1,4845.0266,Others
2413,FDS28,8.18,Regular,0.08286768900000001,58.5588,OUT017,2007,Medium,Tier 2,Supermarket Type1,171.7764,non
2414,FDH32,12.8,Low Fat,0.076214289,96.541,OUT045,2002,Medium,Tier 2,Supermarket Type1,1834.279,perishable
2415,FDW37,19.2,Low Fat,0.12430196800000001,89.7488,OUT045,2002,Medium,Tier 2,Supermarket Type1,2082.6224,non
2416,FDY33,14.5,Regular,0.09720112800000001,159.4262,OUT046,1997,Small,Tier 1,Supermarket Type1,2705.1454,non
2417,FDF17,5.19,Low Fat,0.042861968,196.81099999999998,OUT017,2007,Medium,Tier 2,Supermarket Type1,3731.809,non
2418,FDG56,13.3,Regular,0.0713931,61.0536,OUT013,1987,High,Tier 3,Supermarket Type1,1592.5936,perishable
2419,NCB18,19.6,Non-Edible,0.041256807,88.8514,OUT013,1987,High,Tier 3,Supermarket Type1,2125.2336,Others
2420,FDU14,17.75,Low Fat,0.034746076,248.275,OUT035,2004,Small,Tier 2,Supermarket Type1,998.7,perishable
2421,FDU22,12.35,Low Fat,0.093441604,119.1124,OUT049,1999,Medium,Tier 1,Supermarket Type1,3673.8844,non
2422,NCV41,14.35,Non-Edible,0.017024598000000002,109.8228,OUT013,1987,High,Tier 3,Supermarket Type1,2099.9332,Others
2423,FDY52,6.365,Low Fat,0.007363189,63.2536,OUT045,2002,Medium,Tier 2,Supermarket Type1,1225.072,non
2424,DRG48,11.847459893048129,Low Fat,0.014484582,143.9102,OUT027,1985,Medium,Tier 3,Supermarket Type3,3062.0142,non
2425,FDU01,12.305705009276451,Regular,0.011937183,184.7924,OUT027,1985,Medium,Tier 3,Supermarket Type3,4442.2176,non
2426,NCP53,14.75,Non-Edible,0.032862976,238.6906,OUT013,1987,High,Tier 3,Supermarket Type1,4278.4308,Others
2427,FDC17,12.15,Low Fat,0.015484763,211.9928,OUT049,1999,Medium,Tier 1,Supermarket Type1,631.1784,non
2428,NCZ30,6.59,Non-Edible,0.026163192000000002,121.5098,OUT013,1987,High,Tier 3,Supermarket Type1,602.549,Others
2429,FDK03,12.6,Regular,0.073920438,255.6356,OUT046,1997,Small,Tier 1,Supermarket Type1,2797.6916,perishable
2430,FDE08,13.224769381746881,Low Fat,0.08635240300000001,149.8734,OUT019,1985,Small,Tier 1,Grocery Store,445.4202,perishable
2431,NCM07,13.853284671532842,Non-Edible,0.03976832,83.9908,OUT027,1985,Medium,Tier 3,Supermarket Type3,2348.9424,Others
2432,FDY35,11.3469362745098,Regular,0.015950066000000002,47.7402,OUT027,1985,Medium,Tier 3,Supermarket Type3,1975.4286,perishable
2433,FDS28,12.867061281337076,Regular,0.082002559,59.2588,OUT027,1985,Medium,Tier 3,Supermarket Type3,1374.2112,non
2434,FDI56,7.325,Low Fat,0.09330766800000001,92.7146,OUT013,1987,High,Tier 3,Supermarket Type1,2006.7212,perishable
2435,FDR23,11.3469362745098,Low Fat,0.143199389,175.83700000000002,OUT019,1985,Small,Tier 1,Grocery Store,352.874,perishable
2436,FDF29,15.1,Regular,0.019965179,130.531,OUT049,1999,Medium,Tier 1,Supermarket Type1,908.817,non
2437,FDA47,12.277108208955255,Regular,0.11610879699999999,164.12099999999998,OUT027,1985,Medium,Tier 3,Supermarket Type3,6035.477,non
2438,FDI10,8.51,Regular,0.07833908099999999,172.9422,OUT013,1987,High,Tier 3,Supermarket Type1,1379.5376,non
2439,FDC45,13.224769381746881,Low Fat,0.237651344,170.2106,OUT019,1985,Small,Tier 1,Grocery Store,171.1106,perishable
2440,FDA27,20.35,Regular,0.031102571000000002,257.2672,OUT017,2007,Medium,Tier 2,Supermarket Type1,2045.3376,perishable
2441,NCR41,17.85,Non-Edible,0.018097419,96.9094,OUT018,2009,Medium,Tier 3,Supermarket Type2,1332.9316,Others
2442,FDR09,18.25,Low Fat,0.078041216,258.4962,OUT018,2009,Medium,Tier 3,Supermarket Type2,2848.9582,non
2443,NCB06,17.6,Non-Edible,0.08226356,160.49200000000002,OUT013,1987,High,Tier 3,Supermarket Type1,1278.336,Others
2444,FDE53,10.895,Low Fat,0.026880159,106.428,OUT046,1997,Small,Tier 1,Supermarket Type1,1491.392,non
2445,DRE27,11.85,Low Fat,0.22206335100000002,99.6726,OUT010,1998,Medium,Tier 3,Grocery Store,195.7452,perishable
2446,NCA06,13.384736495388726,Non-Edible,0.142589751,35.919000000000004,OUT027,1985,Medium,Tier 3,Supermarket Type3,585.904,Others
2447,FDL56,14.1,Low Fat,0.126292985,88.6198,OUT018,2009,Medium,Tier 3,Supermarket Type2,1133.8574,perishable
2448,FDT09,15.15,Regular,0.012260981,131.7284,OUT035,2004,Small,Tier 2,Supermarket Type1,1186.4556,non
2449,DRH03,17.25,Low Fat,0.05869048,91.61200000000001,OUT010,1998,Medium,Tier 3,Grocery Store,93.212,perishable
2450,NCQ53,17.6,Non-Edible,0.018982338,237.05900000000003,OUT018,2009,Medium,Tier 3,Supermarket Type2,2836.308,Others
2451,NCT18,14.6,Non-Edible,0.059405152,179.6976,OUT046,1997,Small,Tier 1,Supermarket Type1,3621.952,Others
2452,FDL43,10.1,Low Fat,0.027059264,76.467,OUT035,2004,Small,Tier 2,Supermarket Type1,1761.0410000000002,perishable
2453,FDJ53,10.5,Low Fat,0.071244438,119.2098,OUT035,2004,Small,Tier 2,Supermarket Type1,1325.6078,non
2454,NCQ02,12.6,Non-Edible,0.007455054,186.9556,OUT035,2004,Small,Tier 2,Supermarket Type1,3942.8676,Others
2455,NCJ05,18.7,Non-Edible,0.046088273,153.6682,OUT046,1997,Small,Tier 1,Supermarket Type1,3506.7686,Others
2456,FDT40,5.985,Low Fat,0.09618555599999999,127.1678,OUT018,2009,Medium,Tier 3,Supermarket Type2,3560.6984,non
2457,FDA48,12.1,Low Fat,0.11487406,221.4114,OUT046,1997,Small,Tier 1,Supermarket Type1,5099.3622,non
2458,FDV37,13.0,Regular,0.08364371599999999,196.0426,OUT049,1999,Medium,Tier 1,Supermarket Type1,2570.6538,non
2459,FDX07,19.2,Regular,0.022965292,181.695,OUT045,2002,Medium,Tier 2,Supermarket Type1,2563.33,perishable
2460,DRG48,5.78,Low Fat,0.014584584,146.3102,OUT045,2002,Medium,Tier 2,Supermarket Type1,2187.153,non
2461,FDF44,7.17,Regular,0.059716729,130.9968,OUT035,2004,Small,Tier 2,Supermarket Type1,2348.9424,perishable
2462,FDS24,20.85,Regular,0.062224479000000006,88.1514,OUT046,1997,Small,Tier 1,Supermarket Type1,1682.4766,non
2463,NCQ50,18.75,Non-Edible,0.034360687,215.7218,OUT049,1999,Medium,Tier 1,Supermarket Type1,4274.436,Others
2464,FDT25,7.5,Low Fat,0.050708743,123.4072,OUT013,1987,High,Tier 3,Supermarket Type1,3185.1872,non
2465,FDO03,10.395,Regular,0.036957777000000004,230.5352,OUT045,2002,Medium,Tier 2,Supermarket Type1,4580.704000000001,perishable
2466,FDJ55,12.8,Regular,0.023530952999999997,223.5404,OUT046,1997,Small,Tier 1,Supermarket Type1,1800.3232,perishable
2467,FDM36,11.65,Regular,0.058681957,170.4422,OUT013,1987,High,Tier 3,Supermarket Type1,517.3266,non
2468,FDM21,20.2,Low Fat,0.064728148,258.0646,OUT017,2007,Medium,Tier 2,Supermarket Type1,5668.6212,non
2469,FDK58,11.35,Regular,0.057583738,103.0016,OUT035,2004,Small,Tier 2,Supermarket Type1,2125.2336,non
2470,FDD26,8.71,Regular,0.12077345099999999,186.5924,OUT010,1998,Medium,Tier 3,Grocery Store,555.2772,non
2471,FDW57,8.31,Regular,0.11591197199999999,177.3028,OUT045,2002,Medium,Tier 2,Supermarket Type1,1948.1308,non
2472,FDT32,19.0,Regular,0.10985775,188.8214,OUT010,1998,Medium,Tier 3,Grocery Store,188.4214,perishable
2473,FDT25,7.5,Low Fat,0.05085390099999999,121.7072,OUT045,2002,Medium,Tier 2,Supermarket Type1,367.5216,non
2474,NCB19,6.525,Non-Edible,0.090295708,84.6882,OUT046,1997,Small,Tier 1,Supermarket Type1,601.2174,Others
2475,FDD05,12.867061281337076,Low Fat,0.029084547999999998,122.0098,OUT019,1985,Small,Tier 1,Grocery Store,361.5294,non
2476,NCE54,13.384736495388726,Non-Edible,0.026769592000000002,77.0354,OUT027,1985,Medium,Tier 3,Supermarket Type3,2332.2974,Others
2477,FDO39,6.985,Regular,0.137580452,182.8608,OUT049,1999,Medium,Tier 1,Supermarket Type1,4042.7376,perishable
2478,NCV06,11.3,Non-Edible,0.066816565,192.2478,OUT045,2002,Medium,Tier 2,Supermarket Type1,1356.2346,Others
2479,DRB13,6.115,Regular,0.01179078,189.053,OUT010,1998,Medium,Tier 3,Grocery Store,948.765,non
2480,FDX51,9.5,Regular,0.036921781,194.2452,OUT010,1998,Medium,Tier 3,Grocery Store,782.9808,perishable
